protein_id	Seq MD5 digest	Sequence length	Analysis	Signature accession	Signature description	Start location	Stop location	Score	Status	Date of run	Interpro annotations - accession	Interpro annotation - description	optional: GO terms	optional: Pathway annotation
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	SUPERFAMILY	SSF52833	Thioredoxin-like	4	107	2.9E-28	T	14-10-2020	IPR036249	Thioredoxin-like superfamily		
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	ProSitePatterns	PS00194	Thioredoxin family active site.	25	43	-	T	14-10-2020	IPR017937	Thioredoxin, conserved site		
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	CDD	cd02961	PDI_a_family	10	104	5.59688E-37	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	Gene3D	G3DSA:3.40.395.10	Adenoviral Proteinase; Chain A	1326	1456	1.9E-6	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	Pfam	PF00085	Thioredoxin	21	105	4.6E-25	T	14-10-2020	IPR013766	Thioredoxin domain		
HIN_003570	5c7cafb8f3457734666e4bb416b67436	387	Gene3D	G3DSA:3.60.21.10	-	127	374	1.4E-11	T	13-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_003570	5c7cafb8f3457734666e4bb416b67436	387	CDD	cd00838	MPP_superfamily	132	308	2.66235E-4	T	13-10-2020				
HIN_003570	5c7cafb8f3457734666e4bb416b67436	387	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	130	377	3.45E-23	T	13-10-2020				
HIN_003570	5c7cafb8f3457734666e4bb416b67436	387	Pfam	PF00149	Calcineurin-like phosphoesterase	130	291	1.2E-12	T	13-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_005423	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	Gene3D	G3DSA:3.60.21.10	-	188	409	9.5E-14	T	13-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_005423	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	190	451	2.48E-24	T	13-10-2020				
HIN_005423	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	Pfam	PF00149	Calcineurin-like phosphoesterase	190	359	2.3E-13	T	13-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_005423	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	PANTHER	PTHR43143	METALLOPHOSPHOESTERASE, CALCINEURIN SUPERFAMILY	202	403	1.0E-11	T	13-10-2020				
HIN_005423	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	PANTHER	PTHR43143:SF1	SERINE/THREONINE-PROTEIN PHOSPHATASE CPPED1	202	403	1.0E-11	T	13-10-2020				
HIN_005425	82064240b0b22c9d029d3b1023fd4012	454	Gene3D	G3DSA:3.60.21.10	-	188	419	7.7E-14	T	13-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_005425	82064240b0b22c9d029d3b1023fd4012	454	Pfam	PF00149	Calcineurin-like phosphoesterase	190	359	1.9E-13	T	13-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_005425	82064240b0b22c9d029d3b1023fd4012	454	PANTHER	PTHR43143	METALLOPHOSPHOESTERASE, CALCINEURIN SUPERFAMILY	202	403	2.1E-12	T	13-10-2020				
HIN_005425	82064240b0b22c9d029d3b1023fd4012	454	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	190	451	1.75E-24	T	13-10-2020				
HIN_005425	82064240b0b22c9d029d3b1023fd4012	454	PANTHER	PTHR43143:SF1	SERINE/THREONINE-PROTEIN PHOSPHATASE CPPED1	202	403	2.1E-12	T	13-10-2020				
HIN_005430	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	Gene3D	G3DSA:3.60.21.10	-	188	409	9.5E-14	T	13-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_005430	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	190	451	2.48E-24	T	13-10-2020				
HIN_005430	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	Pfam	PF00149	Calcineurin-like phosphoesterase	190	359	2.3E-13	T	13-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_005430	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	PANTHER	PTHR43143	METALLOPHOSPHOESTERASE, CALCINEURIN SUPERFAMILY	202	403	1.0E-11	T	13-10-2020				
HIN_005430	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	PANTHER	PTHR43143:SF1	SERINE/THREONINE-PROTEIN PHOSPHATASE CPPED1	202	403	1.0E-11	T	13-10-2020				
HIN_009106	dbaf056987faf08a8da562bd7393d2d7	272	Pfam	PF00149	Calcineurin-like phosphoesterase	18	175	1.4E-12	T	13-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_009106	dbaf056987faf08a8da562bd7393d2d7	272	Gene3D	G3DSA:3.60.21.10	-	3	102	3.1E-5	T	13-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_009106	dbaf056987faf08a8da562bd7393d2d7	272	CDD	cd00838	MPP_superfamily	19	193	1.06728E-6	T	13-10-2020				
HIN_009106	dbaf056987faf08a8da562bd7393d2d7	272	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	18	203	2.69E-24	T	13-10-2020				
HIN_009106	dbaf056987faf08a8da562bd7393d2d7	272	Gene3D	G3DSA:3.60.21.10	-	103	224	7.1E-12	T	13-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_018568	01e1462b687ee83c743f1aa462742e4f	352	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	91	277	3.6E-19	T	14-10-2020				
HIN_018568	01e1462b687ee83c743f1aa462742e4f	352	Gene3D	G3DSA:3.60.21.10	-	181	307	1.1E-12	T	14-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_018568	01e1462b687ee83c743f1aa462742e4f	352	Pfam	PF00149	Calcineurin-like phosphoesterase	92	256	6.5E-9	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_018769	58a24284855b47d14019cabb61850d85	451	Pfam	PF00149	Calcineurin-like phosphoesterase	196	355	4.5E-12	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_018769	58a24284855b47d14019cabb61850d85	451	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	196	388	2.28E-25	T	14-10-2020				
HIN_018770	58a24284855b47d14019cabb61850d85	451	Pfam	PF00149	Calcineurin-like phosphoesterase	196	355	4.5E-12	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_018770	58a24284855b47d14019cabb61850d85	451	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	196	388	2.28E-25	T	14-10-2020				
HIN_048042	3d7d4de5b28a1a9a5bab62a006c68baf	454	PANTHER	PTHR43143:SF1	SERINE/THREONINE-PROTEIN PHOSPHATASE CPPED1	202	396	4.4E-14	T	14-10-2020				
HIN_048042	3d7d4de5b28a1a9a5bab62a006c68baf	454	PANTHER	PTHR43143	METALLOPHOSPHOESTERASE, CALCINEURIN SUPERFAMILY	202	396	4.4E-14	T	14-10-2020				
HIN_048042	3d7d4de5b28a1a9a5bab62a006c68baf	454	Gene3D	G3DSA:3.60.21.10	-	188	405	2.1E-15	T	14-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_048042	3d7d4de5b28a1a9a5bab62a006c68baf	454	CDD	cd00838	MPP_superfamily	192	249	2.89591E-4	T	14-10-2020				
HIN_048042	3d7d4de5b28a1a9a5bab62a006c68baf	454	MobiDBLite	mobidb-lite	consensus disorder prediction	383	409	-	T	14-10-2020				
HIN_048042	3d7d4de5b28a1a9a5bab62a006c68baf	454	Pfam	PF00149	Calcineurin-like phosphoesterase	190	359	7.9E-14	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_048042	3d7d4de5b28a1a9a5bab62a006c68baf	454	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	190	448	1.55E-24	T	14-10-2020				
HIN_048045	e49b94815140236cce21d42a31a0b9db	436	Pfam	PF00149	Calcineurin-like phosphoesterase	190	359	7.3E-14	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_048045	e49b94815140236cce21d42a31a0b9db	436	CDD	cd00838	MPP_superfamily	192	249	5.50882E-4	T	14-10-2020				
HIN_048045	e49b94815140236cce21d42a31a0b9db	436	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	190	388	4.78E-24	T	14-10-2020				
HIN_048045	e49b94815140236cce21d42a31a0b9db	436	Gene3D	G3DSA:3.60.21.10	-	188	407	1.8E-15	T	14-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_048045	e49b94815140236cce21d42a31a0b9db	436	MobiDBLite	mobidb-lite	consensus disorder prediction	383	405	-	T	14-10-2020				
HIN_048045	e49b94815140236cce21d42a31a0b9db	436	PANTHER	PTHR43143:SF1	SERINE/THREONINE-PROTEIN PHOSPHATASE CPPED1	202	386	1.1E-13	T	14-10-2020				
HIN_048045	e49b94815140236cce21d42a31a0b9db	436	PANTHER	PTHR43143	METALLOPHOSPHOESTERASE, CALCINEURIN SUPERFAMILY	202	386	1.1E-13	T	14-10-2020				
HIN_048878	fb8d352551d666476cb6b17154d0aaf7	387	Coils	Coil	Coil	380	387	-	T	14-10-2020				
HIN_048878	fb8d352551d666476cb6b17154d0aaf7	387	Pfam	PF00149	Calcineurin-like phosphoesterase	130	291	5.7E-13	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_048878	fb8d352551d666476cb6b17154d0aaf7	387	Gene3D	G3DSA:3.60.21.10	-	127	385	3.3E-11	T	14-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_048878	fb8d352551d666476cb6b17154d0aaf7	387	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	130	365	5.52E-23	T	14-10-2020				
HIN_048897	a5de5daec2725311fbac4d3fbe91428c	387	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	130	370	2.93E-23	T	14-10-2020				
HIN_048897	a5de5daec2725311fbac4d3fbe91428c	387	Pfam	PF00149	Calcineurin-like phosphoesterase	130	291	5.7E-13	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_048897	a5de5daec2725311fbac4d3fbe91428c	387	Coils	Coil	Coil	383	387	-	T	14-10-2020				
HIN_048897	a5de5daec2725311fbac4d3fbe91428c	387	Gene3D	G3DSA:3.60.21.10	-	127	382	4.6E-11	T	14-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_048913	6f64184f283f960e4fe41ab493781be0	387	Pfam	PF00149	Calcineurin-like phosphoesterase	130	291	5.7E-13	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_048913	6f64184f283f960e4fe41ab493781be0	387	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	130	379	5.18E-23	T	14-10-2020				
HIN_048913	6f64184f283f960e4fe41ab493781be0	387	Gene3D	G3DSA:3.60.21.10	-	127	381	5.3E-11	T	14-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_048948	0c38d1a43d6aa98b6eea608b9e2fe5fe	388	Pfam	PF00149	Calcineurin-like phosphoesterase	131	292	1.0E-11	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_048948	0c38d1a43d6aa98b6eea608b9e2fe5fe	388	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	131	315	2.69E-21	T	14-10-2020				
HIN_062783	a2479305dcba4f75afee4f9ae53eb53a	388	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	131	315	1.0E-21	T	14-10-2020				
HIN_062783	a2479305dcba4f75afee4f9ae53eb53a	388	Pfam	PF00149	Calcineurin-like phosphoesterase	131	292	1.9E-12	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_073881	8e891082a73008b983c2913c0bd3c7f7	393	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	136	320	1.42E-19	T	14-10-2020				
HIN_073881	8e891082a73008b983c2913c0bd3c7f7	393	CDD	cd00838	MPP_superfamily	138	196	8.32914E-4	T	14-10-2020				
HIN_073881	8e891082a73008b983c2913c0bd3c7f7	393	Pfam	PF00149	Calcineurin-like phosphoesterase	136	297	4.0E-10	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_073895	8e891082a73008b983c2913c0bd3c7f7	393	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	136	320	1.42E-19	T	14-10-2020				
HIN_073895	8e891082a73008b983c2913c0bd3c7f7	393	CDD	cd00838	MPP_superfamily	138	196	8.32914E-4	T	14-10-2020				
HIN_073895	8e891082a73008b983c2913c0bd3c7f7	393	Pfam	PF00149	Calcineurin-like phosphoesterase	136	297	4.0E-10	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_079079	4c6912fc45d5c0be9b5965eacacda4c3	451	Pfam	PF00149	Calcineurin-like phosphoesterase	196	355	7.4E-11	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_079079	4c6912fc45d5c0be9b5965eacacda4c3	451	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	196	376	4.1E-24	T	14-10-2020				
HIN_080919	cb7967b277e83eda11809361d60878ae	464	Pfam	PF00149	Calcineurin-like phosphoesterase	208	367	2.6E-8	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_080919	cb7967b277e83eda11809361d60878ae	464	Gene3D	G3DSA:3.60.21.10	-	285	414	3.0E-12	T	14-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_080919	cb7967b277e83eda11809361d60878ae	464	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	207	390	2.28E-23	T	14-10-2020				
HIN_091159	538615c31caf41115ab0ff2709cddc1b	464	Gene3D	G3DSA:3.60.21.10	-	281	414	3.1E-12	T	14-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_091159	538615c31caf41115ab0ff2709cddc1b	464	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	207	390	1.14E-23	T	14-10-2020				
HIN_091159	538615c31caf41115ab0ff2709cddc1b	464	Pfam	PF00149	Calcineurin-like phosphoesterase	208	367	1.7E-8	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_091867	c464d1d1ef192787a6aff6e2acd1885a	453	Pfam	PF00149	Calcineurin-like phosphoesterase	198	356	2.1E-13	T	14-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_091867	c464d1d1ef192787a6aff6e2acd1885a	453	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	198	381	1.41E-23	T	14-10-2020				
HIN_007494	a995370971a2ff799c159ecc346904c7	332	Gene3D	G3DSA:3.10.20.90	-	1	82	9.9E-10	T	13-10-2020				
HIN_007494	a995370971a2ff799c159ecc346904c7	332	SUPERFAMILY	SSF54001	Cysteine proteinases	103	264	8.83E-11	T	13-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_007494	a995370971a2ff799c159ecc346904c7	332	Gene3D	G3DSA:3.90.70.10	Cysteine proteinases	93	317	1.3E-11	T	13-10-2020				
HIN_007494	a995370971a2ff799c159ecc346904c7	332	Pfam	PF00443	Ubiquitin carboxyl-terminal hydrolase	107	198	1.6E-5	T	13-10-2020	IPR001394	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	GO:0004843|GO:0016579	
HIN_007494	a995370971a2ff799c159ecc346904c7	332	SUPERFAMILY	SSF54236	Ubiquitin-like	2	77	2.5E-7	T	13-10-2020	IPR029071	Ubiquitin-like domain superfamily		
HIN_007494	a995370971a2ff799c159ecc346904c7	332	ProSiteProfiles	PS50235	Ubiquitin specific protease (USP) domain profile.	106	332	10.849	T	13-10-2020	IPR028889	Ubiquitin specific protease domain		
HIN_007494	a995370971a2ff799c159ecc346904c7	332	CDD	cd17039	Ubl_ubiquitin_like	14	75	0.00320313	T	13-10-2020				
HIN_016560	1ef81c1a650887cefb8a3ed2c6a389a8	848	SUPERFAMILY	SSF57184	Growth factor receptor domain	540	694	6.12E-6	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_022404	1523b84943a40ef739796c84c74f3e52	1300	SUPERFAMILY	SSF57184	Growth factor receptor domain	698	858	8.55E-9	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_022404	1523b84943a40ef739796c84c74f3e52	1300	Coils	Coil	Coil	1201	1221	-	T	14-10-2020				
HIN_022404	1523b84943a40ef739796c84c74f3e52	1300	MobiDBLite	mobidb-lite	consensus disorder prediction	1277	1300	-	T	14-10-2020				
HIN_023503	31c60a6dfd7362845aa3c5ab573a52b1	485	SUPERFAMILY	SSF57184	Growth factor receptor domain	177	331	1.14E-5	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_039421	50996d903600d212c94c9ebdfcfa536d	1300	MobiDBLite	mobidb-lite	consensus disorder prediction	1217	1260	-	T	14-10-2020				
HIN_039421	50996d903600d212c94c9ebdfcfa536d	1300	MobiDBLite	mobidb-lite	consensus disorder prediction	234	254	-	T	14-10-2020				
HIN_039421	50996d903600d212c94c9ebdfcfa536d	1300	MobiDBLite	mobidb-lite	consensus disorder prediction	1206	1285	-	T	14-10-2020				
HIN_039421	50996d903600d212c94c9ebdfcfa536d	1300	SUPERFAMILY	SSF57184	Growth factor receptor domain	378	507	1.1E-5	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_056207	5126ba5d0469591348512fc5f2e47dfb	1284	MobiDBLite	mobidb-lite	consensus disorder prediction	1264	1284	-	T	14-10-2020				
HIN_056207	5126ba5d0469591348512fc5f2e47dfb	1284	Coils	Coil	Coil	1185	1205	-	T	14-10-2020				
HIN_056207	5126ba5d0469591348512fc5f2e47dfb	1284	SUPERFAMILY	SSF57184	Growth factor receptor domain	682	842	2.3E-9	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_070739	78ee654be5b268018c9b39077343952d	1302	MobiDBLite	mobidb-lite	consensus disorder prediction	1219	1261	-	T	14-10-2020				
HIN_070739	78ee654be5b268018c9b39077343952d	1302	MobiDBLite	mobidb-lite	consensus disorder prediction	1208	1277	-	T	14-10-2020				
HIN_070739	78ee654be5b268018c9b39077343952d	1302	MobiDBLite	mobidb-lite	consensus disorder prediction	230	254	-	T	14-10-2020				
HIN_070743	f9042514d571da4cf63708cbde803868	1303	MobiDBLite	mobidb-lite	consensus disorder prediction	1207	1288	-	T	14-10-2020				
HIN_070743	f9042514d571da4cf63708cbde803868	1303	MobiDBLite	mobidb-lite	consensus disorder prediction	1220	1263	-	T	14-10-2020				
HIN_070743	f9042514d571da4cf63708cbde803868	1303	MobiDBLite	mobidb-lite	consensus disorder prediction	230	257	-	T	14-10-2020				
HIN_070743	f9042514d571da4cf63708cbde803868	1303	MobiDBLite	mobidb-lite	consensus disorder prediction	230	254	-	T	14-10-2020				
HIN_070749	46cfc433598136abbd1acdd74809f28e	1306	MobiDBLite	mobidb-lite	consensus disorder prediction	1223	1266	-	T	14-10-2020				
HIN_070749	46cfc433598136abbd1acdd74809f28e	1306	MobiDBLite	mobidb-lite	consensus disorder prediction	230	254	-	T	14-10-2020				
HIN_070749	46cfc433598136abbd1acdd74809f28e	1306	MobiDBLite	mobidb-lite	consensus disorder prediction	1212	1291	-	T	14-10-2020				
HIN_091218	537dd390896973527ae136af48968294	1024	SUPERFAMILY	SSF57184	Growth factor receptor domain	364	485	2.54E-6	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_041957	12b4b340726619d49d5d9eaf0a904e42	709	SUPERFAMILY	SSF57184	Growth factor receptor domain	13	173	6.42E-5	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_041957	12b4b340726619d49d5d9eaf0a904e42	709	SUPERFAMILY	SSF57184	Growth factor receptor domain	342	494	1.57E-10	T	14-10-2020	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
HIN_000414	293600e914546fd1ff906bc0af743038	837	SMART	SM00645	pept_c1	108	389	6.8E-5	T	13-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_000414	293600e914546fd1ff906bc0af743038	837	Pfam	PF00112	Papain family cysteine protease	111	381	6.5E-14	T	13-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_000414	293600e914546fd1ff906bc0af743038	837	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	15	380	1.7E-13	T	13-10-2020				
HIN_000414	293600e914546fd1ff906bc0af743038	837	PANTHER	PTHR12411:SF570	CATHEPSIN L 1	15	380	1.7E-13	T	13-10-2020				
HIN_000414	293600e914546fd1ff906bc0af743038	837	SUPERFAMILY	SSF54001	Cysteine proteinases	13	389	3.51E-29	T	13-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_000418	521b30694a84f11204b5c93bc0c3142c	875	SMART	SM00645	pept_c1	108	389	6.8E-5	T	13-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_000418	521b30694a84f11204b5c93bc0c3142c	875	MobiDBLite	mobidb-lite	consensus disorder prediction	827	875	-	T	13-10-2020				
HIN_000418	521b30694a84f11204b5c93bc0c3142c	875	Pfam	PF00112	Papain family cysteine protease	111	381	6.1E-14	T	13-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_000418	521b30694a84f11204b5c93bc0c3142c	875	PANTHER	PTHR12411:SF570	CATHEPSIN L 1	15	380	8.3E-14	T	13-10-2020				
HIN_000418	521b30694a84f11204b5c93bc0c3142c	875	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	15	380	8.3E-14	T	13-10-2020				
HIN_000418	521b30694a84f11204b5c93bc0c3142c	875	MobiDBLite	mobidb-lite	consensus disorder prediction	830	857	-	T	13-10-2020				
HIN_000418	521b30694a84f11204b5c93bc0c3142c	875	SUPERFAMILY	SSF54001	Cysteine proteinases	13	389	1.33E-29	T	13-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_003893	4b04c2e74cf51286a98c876261e2dbd2	279	Pfam	PF00112	Papain family cysteine protease	111	188	2.5E-6	T	13-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_003893	4b04c2e74cf51286a98c876261e2dbd2	279	SUPERFAMILY	SSF54001	Cysteine proteinases	15	230	3.86E-17	T	13-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_003893	4b04c2e74cf51286a98c876261e2dbd2	279	Gene3D	G3DSA:3.90.70.10	Cysteine proteinases	11	232	5.3E-20	T	13-10-2020				
HIN_003894	9acd18650806d3586d2087da8cad4bb1	513	SUPERFAMILY	SSF54001	Cysteine proteinases	70	197	2.34E-28	T	13-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_003894	9acd18650806d3586d2087da8cad4bb1	513	PANTHER	PTHR12411	CYSTEINE PROTEASE FAMILY C1-RELATED	111	239	1.8E-12	T	13-10-2020				
HIN_003894	9acd18650806d3586d2087da8cad4bb1	513	SMART	SM00645	pept_c1	21	192	1.2E-4	T	13-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_003894	9acd18650806d3586d2087da8cad4bb1	513	Pfam	PF00112	Papain family cysteine protease	109	184	9.1E-18	T	13-10-2020	IPR000668	Peptidase C1A, papain C-terminal	GO:0006508|GO:0008234	
HIN_003894	9acd18650806d3586d2087da8cad4bb1	513	Gene3D	G3DSA:3.90.70.10	Cysteine proteinases	17	204	9.5E-27	T	13-10-2020				
HIN_003894	9acd18650806d3586d2087da8cad4bb1	513	PANTHER	PTHR12411:SF387	PROBABLE THIOL PROTEASE-RELATED	111	239	1.8E-12	T	13-10-2020				
HIN_003894	9acd18650806d3586d2087da8cad4bb1	513	ProSitePatterns	PS00639	Eukaryotic thiol (cysteine) proteases histidine active site.	139	149	-	T	13-10-2020	IPR025660	Cysteine peptidase, histidine active site		Reactome: R-HSA-2132295
HIN_003906	2db34c2408ca744dbc4cfd70bdafd25f	831	PANTHER	PTHR12411:SF570	CATHEPSIN L 1	66	376	7.0E-26	T	13-10-2020				
