id	desc
GL50803_22855	Hypothetical protein
GL50803_8407	Aminoacyl-histidine dipeptidase
GL50803_16266	Hypothetical protein
GL50803_8405	Zinc-finger of a C2HC-type domain-containing protein
GL50803_14699	Ribosomal protein S23
GL50803_16267	Trichohyalin-plectin-homology domain-containing protein
GL50803_137605	VSP with INR
GL50803_114120	Kinase, NEK
GL50803_114119	Alpha-7.2 giardin
GL50803_8658	Hypothetical protein
GL50803_8657	C2HC-type zinc-finger domain-containing protein
GL50803_16114	Ribosomal protein L36e
GL50803_8654	Hypothetical protein
GL50803_8652	Hypothetical protein
GL50803_8651	Hypothetical protein
GL50803_8650	Hypothetical protein
GL50803_14753	Histone acetyltransferase type B subunit 2
GL50803_16113	Hypothetical protein
GL50803_42048	ABC transporter
GL50803_12795	Hypothetical protein
GL50803_15897	GiOR-2
GL50803_15898	DTW domain-containing protein
GL50803_102874	Hypothetical protein
GL50803_25809	Ubiquitin carboxyl-terminal hydrolase
GL50803_60163	TLD domain-containing protein
GL50803_16076	Peroxiredoxin 1
GL50803_16077	Hypothetical protein
GL50803_16078	Hypothetical protein
GL50803_4463	Dynein light chain
GL50803_4465	Hypothetical protein
GL50803_60167	Hypothetical protein
GL50803_114445	Hypothetical protein
GL50803_60176	Hypothetical protein
GL50803_114891	High cysteine membrane protein Group 3
GL50803_116575	Hypothetical protein
GL50803_50057	High cysteine protein
GL50803_21232	Hypothetical protein
GL50803_14841	Phosphoglycolate phosphatase
GL50803_9030	Ankyrin repeat protein 1
GL50803_14842	Dimethyladenosine transferase
GL50803_14843	Chaperone protein dnaJ
GL50803_9036	EamA-like transporter family protein
GL50803_91398	Eukaryotic translation initiation factor 2 beta subunit
GL50803_9038	Nicotinate phosphoribosyltransferase
GL50803_28703	Hypothetical protein
GL50803_21233	Hypothetical protein
GL50803_21234	Hypothetical protein
GL50803_9043	Magnesium transporter NIPA
GL50803_9045	Thioredoxin family protein
GL50803_9046	Sugar transport family protein
GL50803_14845	Tim44
GL50803_9048	Hypothetical protein
GL50803_14846	Hypothetical protein
GL50803_9051	Hypothetical protein
GL50803_100864	Vacuolar protein sorting 26
GL50803_91374	Coiled-coil protein
GL50803_16085	Hypothetical protein
GL50803_16086	Ribosomal protein L8
GL50803_5069	Ubiquitin family protein
GL50803_5070	Hypothetical protein
GL50803_117440	High cysteine protein
GL50803_d117440	High cysteine protein
GL50803_36884	Coiled-coil protein
GL50803_16152	Coiled-coil protein
GL50803_60183	Hypothetical protein
GL50803_7427	Hypothetical protein
GL50803_113213	High cysteine membrane protein EGF-like
GL50803_14456	Low molecular weight protein-tyrosine-phosphatase
GL50803_14457	Ribosomal protein L29e
GL50803_7439	Ser/Thr phosphatase 2A regulatory subunit A
GL50803_14458	Hypothetical protein
GL50803_60002	Sec61beta family protein
GL50803_7444	UvrB/uvrC motif-containing protein
GL50803_24505	Hypothetical protein
GL50803_13109	Ras-related protein
GL50803_15847	Hypothetical protein
GL50803_2732	Helix-turn-helix domain-containing protein
GL50803_113219	IQ calmodulin-binding motif-containing protein
GL50803_15958	Ankyrin repeat protein 1
GL50803_103373	Alpha-7.1 giardin
GL50803_60184	Hypothetical protein
GL50803_14586	VSP with INR
GL50803_d14586	VSP with INR
GL50803_d60184	Hypothetical protein
GL50803_13239	Dynein heavy chain and region D6 of dynein motor containing protein
GL50803_102056	Hypothetical protein
GL50803_17102	Hypothetical protein
GL50803_17103	Orc1/CDC6
GL50803_2461	Hypothetical protein
GL50803_17104	Hypothetical protein
GL50803_102051	Amino acid transporter family
GL50803_3647	Hypothetical protein
GL50803_17105	Intraflagellar transport protein IFT172
GL50803_6422	Hypothetical protein
GL50803_6423	Hypothetical protein
GL50803_14198	Hypothetical protein
GL50803_17106	26S protease regulatory subunit 8
GL50803_27852	Hypothetical protein
GL50803_6427	Major facilitator family transporter
GL50803_14200	Molybdenum cofactor sulfurase
GL50803_6430	14-3-3 protein
GL50803_17109	Hypothetical protein
GL50803_2906	Hypothetical protein
GL50803_22338	mRNA cap guanine-N7 methyltransferase
GL50803_17110	Hypothetical protein
GL50803_17111	Hypothetical protein
GL50803_1656	Kinase, STE STE11
GL50803_1657	Translation initiation factor
GL50803_17112	U3 small nucleolar ribonucleoprotein protein IMP4, putative
GL50803_8816	Hypothetical protein
GL50803_102034	Kinase, NEK
GL50803_8819	Cia2
GL50803_8820	Spindle pole protein, putative
GL50803_8821	Hypothetical protein
GL50803_8822	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
GL50803_37711	Hypothetical protein
GL50803_8826	Glucokinase
GL50803_8827	WD40 repeat protein
GL50803_14783	High cysteine membrane protein
GL50803_50064	VSP
GL50803_1903	Glutamine methyltransferase
GL50803_1902	Hypothetical protein
GL50803_104031	Glycogen synthase, putative
GL50803_2366	Hypothetical protein
GL50803_16547	Intraflagellar transport protein IFT122
GL50803_7103	Kinase, NEK
GL50803_14360	Tenascin-like protein
GL50803_7110	Ubiquitin
GL50803_14361	Hypothetical protein
GL50803_14362	Hypothetical protein
GL50803_7114	Hypothetical protein
GL50803_16548	PX domain-containing protein
GL50803_16549	Uridine kinase
GL50803_14364	Kinase, CAMK CAMKL
GL50803_16550	Hypothetical protein
GL50803_86761	Hypothetical protein
GL50803_16553	Hypothetical protein
GL50803_16552	Phosphomevalonate kinase
GL50803_16554	Splicing factor U2AF subunit, putative
GL50803_32730	Hypothetical protein
GL50803_16556	Hypothetical protein
GL50803_13901	Ankyrin repeat protein 2
GL50803_21622	Ring finger domain-containing protein
GL50803_31391	Hypothetical protein
GL50803_60194	Hypothetical protein
GL50803_60196	Kinase, NEK
GL50803_50066	VSP
GL50803_16194	Hypothetical protein
GL50803_14525	Hypothetical protein
GL50803_7728	Ankyrin repeat protein 1
GL50803_35180	GTOR
GL50803_8026	Cleavage and polyadenylation specificity factor, 73 kDa subunit
GL50803_8025	Nuclear ATP/GTP-binding protein
GL50803_8023	Hypothetical protein
GL50803_24471	Hypothetical protein
GL50803_14242	Dynein heavy chain, putative
GL50803_6564	Proliferating cell nuclear antigen
GL50803_6563	Uracil phosphoribosyltransferase
GL50803_14241	C3HC4-type zinc-finger domain-containing protein
GL50803_6559	Hypothetical protein
GL50803_6558	Hypothetical protein
GL50803_24400	Kinase, NEK
GL50803_6556	Hypothetical protein
GL50803_112207	VSP
GL50803_50070	VSP
GL50803_16572	N-terminal acetyltransferase B complex catalytic subunit
GL50803_16573	Hypothetical protein
GL50803_15048	ATP-dependent RNA helicase-like protein
GL50803_15049	Kinase, NEK
GL50803_28962	Hypothetical protein
GL50803_60210	Hypothetical protein
GL50803_9802	Ankyrin repeat protein 1
GL50803_9803	La ribonucleoprotein, putative
GL50803_16574	Hypothetical protein
GL50803_9807	Hypothetical protein
GL50803_9808	Chaperone protein DnaJ subfamily A
GL50803_9810	Ribosomal protein L44
GL50803_60211	Ribosomal protein S19e
GL50803_19509	Qc-SNARE 4
GL50803_15054	Kelch repeat-containing protein
GL50803_104685	Centrin
GL50803_103164	SHIPPO repeat domain-containing protein
GL50803_16575	ABC transporter family protein
GL50803_40783	Hypothetical protein
GL50803_5213	tRNA dihydrouridine synthase, putative
GL50803_33809	Hypothetical protein
GL50803_16577	Hypothetical protein
GL50803_98054	Heat shock protein 90
GL50803_16578	Hypothetical protein
GL50803_5206	Hypothetical protein
GL50803_13863	Hypothetical protein
GL50803_90950	ATP-dependent RNA helicase
GL50803_33807	Ankyrin repeat protein 2
GL50803_3470	ABC transporter family protein
GL50803_24194	Ankyrin repeat protein 1
GL50803_16463	O-sialoglycoprotein endopeptidase
GL50803_17243	Outer-arm dynein beta
GL50803_8173	Glycerol kinase
GL50803_8174	Ankyrin repeat protein 1
GL50803_14654	Hypothetical protein
GL50803_14655	Hypothetical protein
GL50803_8182	Phospholipid-transporting ATPase IA, putative
GL50803_16464	RING-H2 zinc finger domain-containing protein
GL50803_60213	Hypothetical protein
GL50803_3563	Hypothetical protein
GL50803_3564	Hypothetical protein
GL50803_3565	Dihydrouridine synthase, putative
GL50803_13390	VSP
GL50803_d60225	Glutathione S-transferase-like protein
GL50803_d60223	Hypothetical protein
GL50803_d113864	Hypothetical protein
GL50803_137722	VSP
GL50803_137723	VSP
GL50803_113864	Hypothetical protein
GL50803_60223	Hypothetical protein
GL50803_60225	Glutathione S-transferase-like protein
GL50803_37093	VSP
GL50803_14158	Ankyrin repeat protein 1
GL50803_16339	Glucoamylase S1/S2
GL50803_6283	Helicase
GL50803_6284	Ankyrin repeat protein 2
GL50803_6377	Hypothetical protein
GL50803_113871	Hypothetical protein
GL50803_6375	Rhodanese-like domain-containing protein
GL50803_113873	Hypothetical protein
GL50803_102461	Spindle pole protein, putative
GL50803_14626	Oxidoreductase, short chain dehydrogenase/reductase family
GL50803_113876	ABC transporter, ATP-binding protein, putative
GL50803_137721	VSP
GL50803_4007	Maf1 regulator
GL50803_4008	Mob1-like protein
GL50803_13512	TFIIH P34
GL50803_34058	Mismatch repair protein
GL50803_2007	Hypothetical protein
GL50803_16054	Qb-SNARE 1
GL50803_1300	Hypothetical protein
GL50803_24807	Ankyrin repeat protein 1
GL50803_36943	Hypothetical protein
GL50803_3141	Hypothetical protein
GL50803_2710	Trm112p-like protein
GL50803_13104	DNA repair protein RAD51
GL50803_16357	Hypothetical protein
GL50803_13103	Transcription elongation factor Elf1 like protein
GL50803_13101	Hypothetical protein
GL50803_16356	Suppressor of actin 1
GL50803_14677	Hypothetical protein
GL50803_28477	Hypothetical protein
GL50803_16355	Ankyrin repeat protein 1
GL50803_16354	Ankyrin repeat protein 1
GL50803_8263	Hypothetical protein
GL50803_14675	Hypothetical protein
GL50803_8260	Hypothetical protein
GL50803_113892	Long chain fatty acid CoA ligase, putative
GL50803_16353	Hypothetical protein
GL50803_8253	OST3 / OST6 family, transporter family protein
GL50803_24818	Hypothetical protein
GL50803_16954	Hypothetical protein
GL50803_20037	Histone H3
GL50803_13323	Hypothetical protein
GL50803_3341	RNA polymerase III RPC4
GL50803_3342	Hypothetical protein
GL50803_16953	Flap structure-specific endonuclease
GL50803_3345	Hypothetical protein
GL50803_16952	Kinase, NEK
GL50803_14704	Hypothetical protein
GL50803_28526	Hypothetical protein
GL50803_8423	Calmodulin-binding protein
GL50803_93103	tRNA (uracil-5-)-methyltransferase, putative
GL50803_8426	Radial spokehead-like protein
GL50803_8427	Transcriptional repressor NOT4Hp, putative
GL50803_8428	Kinase, NEK
GL50803_8429	Signal peptide peptidase
GL50803_8430	Hypothetical protein
GL50803_16951	Hypothetical protein
GL50803_8432	RING-H2 zinc finger domain-containing protein
GL50803_8433	Hypothetical protein
GL50803_16950	Hypothetical protein
GL50803_137720	Hypothetical protein
GL50803_8782	Protein required for cell viability
GL50803_8781	Yip1 family member 6
GL50803_16949	Hypothetical protein
GL50803_103818	Hypothetical protein
GL50803_16948	Nucleolar protein NOP2
GL50803_91712	Amino acid transporter family
GL50803_8771	Hypothetical protein
GL50803_8770	Uracil-DNA glycosylase
GL50803_28629	Hypothetical protein
GL50803_91707	High cysteine membrane protein Group 1
GL50803_2382	Hypothetical protein
GL50803_35428	Valine-tRNA ligase
GL50803_16737	Acid sphingomyelinase
GL50803_16736	Ankyrin repeat protein 1
GL50803_103810	Ankyrin repeat protein 1
GL50803_5497	Hypothetical protein
GL50803_16734	Hypothetical protein
GL50803_103807	Ankyrin repeat protein 1
GL50803_16733	Kinase
GL50803_16732	Hypothetical protein
GL50803_16731	Hypothetical protein
GL50803_13475	Axoneme-associated protein GASP-180
GL50803_137719	Kinase, NEK
GL50803_89887	Nucleolar GTP-binding protein 2
GL50803_17120	CEGP1 protein
GL50803_11099	Ankyrin repeat protein 1
GL50803_11100	Tetratricopeptide repeat-containing protein
GL50803_15338	Kinase, NEK
GL50803_15339	Adaptor protein complex large chain subunit BetaA
GL50803_11105	Hypothetical protein
GL50803_15340	Ankyrin repeat protein 1
GL50803_11107	Ankyrin repeat protein 1
GL50803_17119	Putative zinc-RING and/or ribbon domain-containing protein
GL50803_11110	Hypothetical protein
GL50803_15342	Hypothetical protein
GL50803_11113	Hypothetical protein
GL50803_11114	Hypothetical protein
GL50803_15343	Hypothetical protein
GL50803_11116	Hypothetical protein
GL50803_11118	Enolase
GL50803_11120	Kelch motif-containing protein
GL50803_15344	DNA replication licensing factor MCM2
GL50803_17117	Ankyrin repeat protein 1
GL50803_17118	U2 small nuclear ribonucleoprotein A', putative
GL50803_14651	Glucosamine 6-phosphate N-acetyltransferase
GL50803_8163	Manganese-dependent inorganic pyrophosphatase, putative
GL50803_14650	Ser/Thr phosphatase 2C, putative
GL50803_8157	RNA polymerase II subunit Rpb5b
GL50803_14649	Hypothetical protein
GL50803_14648	Kinase, NEK
GL50803_8152	Kinase, NEK
GL50803_17116	Cytochrome b5-like Heme/Steroid binding domain-containing protein
GL50803_8148	Hypothetical protein
GL50803_14647	Hypothetical protein
GL50803_8146	Basal body protein, BBS5
GL50803_8145	Hypothetical protein
GL50803_17115	Hypothetical protein
GL50803_2217	Hypothetical protein
GL50803_89828	Hypothetical protein
GL50803_13196	Hypothetical protein
GL50803_21133	Hypothetical protein
GL50803_89845	Ankyrin repeat protein 2
GL50803_114089	High cysteine membrane protein Group 4
GL50803_101496	VSP
GL50803_6982	Hypothetical protein
GL50803_14333	Hypothetical protein
GL50803_6980	DNA pol/primase, large sub
GL50803_16049	Kinase, NEK
GL50803_16050	Hypothetical protein
GL50803_92760	Hypothetical protein
GL50803_4764	Hypothetical protein
GL50803_23833	Vacuolar protein sorting 35
GL50803_4767	Ankyrin repeat protein 1
GL50803_4768	Hypothetical protein
GL50803_33672	Hypothetical protein
GL50803_8074	Manganese-dependent inorganic pyrophosphatase, putative
GL50803_8075	Hypothetical protein
GL50803_14627	Hypothetical protein
GL50803_8078	Hypothetical protein
GL50803_14628	Phosphatidylinositol-4-phosphate 5-kinase, putative
GL50803_42676	Hypothetical protein
GL50803_16537	Ankyrin repeat protein 1
GL50803_33674	Hypothetical protein
GL50803_2779	Ankyrin repeat protein 1
GL50803_13127	Proteasome subunit beta type 1
GL50803_2777	Hypothetical protein
GL50803_16535	Tubulin specific chaperone E
GL50803_16534	Ankyrin repeat protein 1
GL50803_16533	Ankyrin repeat protein 1
GL50803_16532	Ankyrin repeat protein 1
GL50803_113319	High cysteine membrane protein TMK-like
GL50803_28057	High cysteine membrane protein
GL50803_119672	Hypothetical protein
GL50803_6920	Ankyrin repeat protein 1
GL50803_6919	Hypothetical protein
GL50803_6918	DNA damage repair protein
GL50803_6917	Transmembrane domain-containing protein
GL50803_14322	Hypothetical protein
GL50803_14321	Ribosomal protein L30
GL50803_17291	Orc4
GL50803_2509	Skp1 family, dimerisation domain-containing protein
GL50803_2508	Hypothetical protein
GL50803_137718	Hypothetical protein
GL50803_32607	High cysteine membrane protein Group 1
GL50803_137717	VSP
GL50803_9718	Ras-related protein
GL50803_9719	FAD/FMN dependent oxidoreductase
GL50803_9720	Ankyrin repeat protein 1
GL50803_17288	Ankyrin repeat protein 1
GL50803_9722	Ankyrin repeat protein 1
GL50803_93294	Ankyrin repeat protein 3
GL50803_15022	Hypothetical protein
GL50803_15023	Hypothetical protein
GL50803_17286	Hypothetical protein
GL50803_20472	Hypothetical protein
GL50803_17285	Ankyrin repeat protein 1
GL50803_17284	Ankyrin repeat protein 1
GL50803_14859	Ankyrin repeat protein 1
GL50803_14858	Hypothetical protein
GL50803_9079	Transmembrane emp24 domain-containing protein
GL50803_14857	Hypothetical protein
GL50803_9077	Inositol 5-phosphatase 4
GL50803_14856	Signal recognition particle receptor
GL50803_14855	Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha/beta/delta
GL50803_9073	Dual-specificity protein phosphatase
GL50803_9072	Hypothetical protein
GL50803_17283	Hypothetical protein
GL50803_6483	Ribonuclease HI, large sub
GL50803_21156	Ankyrin repeat protein 1
GL50803_6485	Hypothetical protein
GL50803_14223	Kinase, NEK
GL50803_6490	Ankyrin repeat protein 1
GL50803_6492	Glycerophosphocholine phosphodiesterase
GL50803_27880	Torus domain-containing protein
GL50803_17280	Hypothetical protein
GL50803_17279	Hypothetical protein
GL50803_17278	Radial spoke protein 9
GL50803_13523	RAS like GTPase
GL50803_17277	Phospholipase B
GL50803_17276	Hypothetical protein
GL50803_13524	Phosphatase
GL50803_13525	RNA methylase, putative
GL50803_103895	Hypothetical protein
GL50803_4059	5'-methylthioadenosine nucleosidase/S-adenosylhomocysteine nucleosidase
GL50803_137716	Axoneme-associated protein GASP-180
GL50803_60256	Hypothetical protein
GL50803_111906	Hypothetical protein
GL50803_33978	Hypothetical protein
GL50803_3910	Thioredoxin
GL50803_137715	High cysteine membrane protein Group 5
GL50803_137714	VSP with INR
GL50803_11470	VSP with INR
GL50803_15419	Hypothetical protein
GL50803_11449	Cytoplasmic tRNA 2-thiolation protein
GL50803_11448	Phosphomannomutase-2
GL50803_11446	Hypothetical protein
GL50803_15418	Hypothetical protein
GL50803_11443	Hypothetical protein
GL50803_11442	Kinesin-related protein
GL50803_112729	Kinesin like protein
GL50803_11438	Ankyrin repeat protein 1
GL50803_11436	Molybdopterin biosynthesis MoeB protein
GL50803_11434	20S proteasome alpha subunit 2
GL50803_15416	Hypothetical protein
GL50803_33433	ASF1 like histone chaperone
GL50803_92729	3-ketoacyl-CoA synthase
GL50803_33434	Hypothetical protein
GL50803_15936	Hypothetical protein
GL50803_13428	RNase P subunit p30
GL50803_3713	Hypothetical protein
GL50803_13427	Ankyrin repeat protein 1
GL50803_92739	ATP-dependent RNA helicase A
GL50803_92741	Kinase, CMGC CLK
GL50803_23235	Ankyrin repeat protein 1
GL50803_112718	Mitotic control protein dis3
GL50803_19364	Hypothetical protein
GL50803_3847	Hypothetical protein
GL50803_16472	VSP
GL50803_16471	Ankyrin repeat protein 1
GL50803_13464	Splicesome-associated protein
GL50803_137713	Hypothetical protein
GL50803_23808	Hypothetical protein
GL50803_33660	Ankyrin repeat protein 1
GL50803_16468	Cathepsin B
GL50803_3287	Acetyl-CoA acetyltransferase
GL50803_137712	Hypothetical protein
GL50803_7203	Guanylate kinase
GL50803_7204	RNA recognition motif family protein
GL50803_14391	Hypothetical protein
GL50803_14392	Metallo-beta-lactamase superfamily protein
GL50803_7207	Hypothetical protein
GL50803_16747	Rrm3p helicase
GL50803_16746	Hypothetical protein
GL50803_14807	Ankyrin repeat protein 1
GL50803_8913	Hydroxyacylglutathione hydrolase
GL50803_8914	Kinase, NEK
GL50803_28666	Diphthine synthase
GL50803_8916	Signal recognition particle
GL50803_8917	Mu adaptin isoform b
GL50803_16745	Axoneme-associated protein GASP-180
GL50803_8920	Zinc finger domain protein
GL50803_8921	Histone-lysine N-methyltransferase MLL1
GL50803_8922	Hypothetical protein
GL50803_33663	Hypothetical protein
GL50803_13479	Kinase, NEK
GL50803_13478	ADP-ribosylation factor like protein 2a
GL50803_3883	Hypothetical protein
GL50803_60275	Hypothetical protein
GL50803_112695	Hypothetical protein
GL50803_112693	VSP
GL50803_30448	Hypothetical protein
GL50803_9283	Hypothetical protein
GL50803_14921	Hypothetical protein
GL50803_9287	Replication factor C, sub 2
GL50803_9289	Kinase, NEK
GL50803_14922	Hypothetical protein
GL50803_17229	Hypothetical protein
GL50803_9293	Protein phosphatase 2C-like protein
GL50803_9294	Hypothetical protein
GL50803_9296	Hypothetical protein
GL50803_114230	Hypothetical protein
GL50803_137711	Hypothetical protein
GL50803_41472	VSP
GL50803_10659	High cysteine membrane protein Group 1
GL50803_10661	Ubiquitin-conjugating enzyme E1
GL50803_24425	PPPDE putative peptidase domain-containing protein
GL50803_15260	Ribosomal protein S15
GL50803_10666	Histone acetyltransferase GCN5
GL50803_10667	Hypothetical protein
GL50803_16996	Enkurin superfamily protein
GL50803_60288	BolA-like protein
GL50803_24423	WW domain-containing protein
GL50803_6242	Translationally controlled tumor protein-like protein
GL50803_6245	Hypothetical protein
GL50803_16993	FtsJ cell division protein, putative
GL50803_114242	Hypothetical protein
GL50803_16992	Hypothetical protein
GL50803_5359	Nucleolar protein NOP5
GL50803_5358	Aurora kinase
GL50803_13904	Prefoldin subunit
GL50803_13903	Hypothetical protein
GL50803_33898	Hypothetical protein
GL50803_6709	Hypothetical protein
GL50803_114246	GTP dependent nucleic acid binding protein
GL50803_114247	Ankyrin repeat protein 1
GL50803_6713	Hypothetical protein
GL50803_24412	Ankyrin repeat protein 1
GL50803_20081	Hypothetical protein
GL50803_6724	Nuclear transport factor 2, putative
GL50803_6725	Hypothetical protein
GL50803_16130	Hypothetical protein
GL50803_12942	Hypothetical protein
GL50803_2226	Hypothetical protein
GL50803_12941	Hypothetical protein
GL50803_16129	Translation initiation factor
GL50803_16127	Replication factor C, subunit 5
GL50803_16126	Hypothetical protein
GL50803_26749	Hypothetical protein
GL50803_3475	Ankyrin repeat protein 1
GL50803_16125	FAD-dependent glycerol-3-phosphate dehydrogenase
GL50803_14460	Ubiquitin carboxyl-terminal hydrolase
